event_id;user_id;revenue;event_date
107;1982;1037;02.01.2026
108;1993;1283;02.01.2026
109;49;863;03.01.2026
110;49;918;09.01.2026
111;50;827;03.01.2026
112;50;1119;08.01.2026
113;96;1134;01.01.2026
114;96;1137;07.01.2026
115;128;881;13.01.2026
116;128;1096;05.01.2026
117;133;943;10.01.2026
118;133;973;03.01.2026
119;135;1020;03.01.2026
120;135;1149;12.01.2026
121;141;935;10.01.2026
122;141;872;09.01.2026
123;180;1170;09.01.2026
124;180;960;11.01.2026
125;189;1089;08.01.2026
126;189;1164;13.01.2026
127;223;982;10.01.2026
128;223;1100;05.01.2026
129;230;1187;11.01.2026
130;230;1140;03.01.2026
131;234;835;06.01.2026
132;234;871;03.01.2026
133;262;995;09.01.2026
134;262;849;02.01.2026
135;304;1048;02.01.2026
136;304;1185;03.01.2026
137;311;929;14.01.2026
138;311;870;11.01.2026
139;323;1157;06.01.2026
140;323;960;04.01.2026
141;334;920;11.01.2026
142;334;1112;03.01.2026
143;338;946;03.01.2026
144;338;1008;09.01.2026
145;363;816;03.01.2026
146;363;990;08.01.2026
147;384;1156;01.01.2026
148;384;1027;09.01.2026
149;385;1053;10.01.2026
150;385;827;12.01.2026
151;405;924;04.01.2026
152;405;1005;08.01.2026
153;415;828;05.01.2026
154;415;1079;05.01.2026
155;469;1137;09.01.2026
156;469;1007;07.01.2026
157;483;1179;05.01.2026
158;483;1056;04.01.2026
159;487;1009;08.01.2026
160;487;967;05.01.2026
161;498;1102;07.01.2026
162;498;1197;13.01.2026
163;510;864;12.01.2026
164;510;1149;08.01.2026
165;527;1075;09.01.2026
166;527;1071;09.01.2026
167;535;910;03.01.2026
168;535;1055;08.01.2026
169;560;1178;08.01.2026
170;560;1164;08.01.2026
171;574;1035;09.01.2026
172;574;1059;10.01.2026
173;627;1165;05.01.2026
174;627;847;02.01.2026
175;638;954;02.01.2026
176;638;1090;07.01.2026
177;639;861;03.01.2026
178;639;912;13.01.2026
179;706;1147;02.01.2026
180;706;1163;01.01.2026
181;753;907;14.01.2026
182;753;985;01.01.2026
183;762;816;03.01.2026
184;762;979;13.01.2026
185;801;947;10.01.2026
186;801;1083;10.01.2026
187;805;1155;03.01.2026
188;805;1144;08.01.2026
189;853;1130;11.01.2026
190;853;1015;14.01.2026
191;857;910;12.01.2026
192;857;1197;06.01.2026
193;870;1004;11.01.2026
194;870;1008;08.01.2026
195;881;1055;02.01.2026
196;881;959;03.01.2026
197;891;878;10.01.2026
198;891;899;14.01.2026
199;923;804;06.01.2026
200;923;883;03.01.2026
201;949;1061;11.01.2026
202;949;1069;10.01.2026
203;1004;1076;14.01.2026
204;1004;1025;10.01.2026
205;1009;1195;02.01.2026
206;1009;1157;09.01.2026
207;1020;1231;11.01.2026
208;1020;1072;09.01.2026
209;1032;974;01.01.2026
210;1032;1003;01.01.2026
211;1063;1072;01.01.2026
212;1063;1235;08.01.2026
213;1120;1162;08.01.2026
214;1120;1225;06.01.2026
215;1126;1278;01.01.2026
216;1126;1136;11.01.2026
217;1127;1115;05.01.2026
218;1127;1145;08.01.2026
219;1158;1093;11.01.2026
220;1158;1218;07.01.2026
221;1165;939;03.01.2026
222;1165;1125;02.01.2026
223;1195;1020;08.01.2026
224;1195;1126;11.01.2026
225;1197;1014;03.01.2026
226;1197;1250;08.01.2026
227;1266;901;07.01.2026
228;1266;1239;03.01.2026
229;1269;1241;09.01.2026
230;1269;1219;04.01.2026
231;1285;952;13.01.2026
232;1285;1094;03.01.2026
233;1289;1208;02.01.2026
234;1289;1268;08.01.2026
235;1305;1071;11.01.2026
236;1305;1257;13.01.2026
237;1306;1078;05.01.2026
238;1306;1022;10.01.2026
239;1325;1282;11.01.2026
240;1325;1183;02.01.2026
241;1342;1154;04.01.2026
242;1342;1034;07.01.2026
243;1345;981;02.01.2026
244;1345;1299;08.01.2026
245;1351;1133;05.01.2026
246;1351;1116;14.01.2026
247;1352;1287;12.01.2026
248;1352;1154;04.01.2026
249;1361;1050;09.01.2026
250;1361;1033;01.01.2026
251;1367;1062;07.01.2026
252;1367;993;05.01.2026
253;1370;1223;07.01.2026
254;1370;1249;13.01.2026
255;1391;1100;14.01.2026
256;1391;1146;04.01.2026
257;1406;901;12.01.2026
258;1406;1148;05.01.2026
259;1408;1180;02.01.2026
260;1408;1030;04.01.2026
261;1411;1281;10.01.2026
262;1411;1272;06.01.2026
263;1442;1208;08.01.2026
264;1442;1067;08.01.2026
265;1453;1087;09.01.2026
266;1453;1300;11.01.2026
267;1458;1144;07.01.2026
268;1458;906;01.01.2026
269;1475;1084;13.01.2026
270;1475;965;11.01.2026
271;1485;1095;04.01.2026
272;1485;1022;10.01.2026
273;1523;1255;06.01.2026
274;1523;932;06.01.2026
275;1551;1271;07.01.2026
276;1551;956;07.01.2026
277;1555;983;09.01.2026
278;1555;1119;05.01.2026
279;1558;1000;05.01.2026
280;1558;1242;03.01.2026
281;1603;1232;04.01.2026
282;1603;1091;10.01.2026
283;1606;1207;14.01.2026
284;1606;1132;14.01.2026
285;1607;980;09.01.2026
286;1607;1189;06.01.2026
287;1637;903;13.01.2026
288;1637;983;04.01.2026
289;1643;955;08.01.2026
290;1643;1055;02.01.2026
291;1652;1058;13.01.2026
292;1652;1161;01.01.2026
293;1653;1275;14.01.2026
294;1653;1273;13.01.2026
295;1673;1160;05.01.2026
296;1673;1136;12.01.2026
297;1677;1073;12.01.2026
298;1677;1109;03.01.2026
299;1708;1109;13.01.2026
300;1708;1240;13.01.2026
301;1728;1140;12.01.2026
302;1728;1166;05.01.2026
303;1730;1033;12.01.2026
304;1730;1089;10.01.2026
305;1764;926;10.01.2026
306;1764;1108;11.01.2026
307;1775;1248;11.01.2026
308;1775;967;03.01.2026
309;1781;939;11.01.2026
310;1781;1090;05.01.2026
311;1787;1128;04.01.2026
312;1787;1272;07.01.2026
313;1848;1166;14.01.2026
314;1848;1130;11.01.2026
315;1854;1121;12.01.2026
316;1854;981;08.01.2026
317;1858;1111;12.01.2026
318;1858;1011;13.01.2026
319;1871;1144;14.01.2026
320;1871;1030;11.01.2026
321;1876;1000;08.01.2026
322;1876;1097;07.01.2026
323;1889;917;12.01.2026
324;1889;1217;08.01.2026
325;1894;1044;11.01.2026
326;1894;917;03.01.2026
327;1898;1118;14.01.2026
328;1898;917;13.01.2026
329;1914;1175;11.01.2026
330;1914;974;10.01.2026
331;1930;1098;11.01.2026
332;1930;1156;06.01.2026
333;1950;1300;03.01.2026
334;1950;986;05.01.2026
335;1955;1103;10.01.2026
336;1955;933;09.01.2026
337;1960;925;09.01.2026
338;1960;1111;03.01.2026
339;5;840;02.01.2026
340;5;834;05.01.2026
341;5;955;09.01.2026
342;14;1082;07.01.2026
343;14;925;09.01.2026
344;14;925;04.01.2026
345;33;846;11.01.2026
346;33;1009;11.01.2026
347;33;1018;03.01.2026
348;51;1076;01.01.2026
349;51;912;13.01.2026
350;51;866;01.01.2026
351;68;1129;04.01.2026
352;68;875;07.01.2026
353;68;1018;05.01.2026
354;71;817;14.01.2026
355;71;1059;02.01.2026
356;71;979;05.01.2026
357;105;830;03.01.2026
358;105;972;12.01.2026
359;105;953;06.01.2026
360;106;801;01.01.2026
361;106;1068;11.01.2026
362;106;1168;12.01.2026
363;114;1017;14.01.2026
364;114;993;14.01.2026
365;114;835;11.01.2026
366;120;904;06.01.2026
367;120;945;05.01.2026
368;120;1003;07.01.2026
369;147;1082;04.01.2026
370;147;1200;02.01.2026
371;147;919;01.01.2026
372;160;1044;02.01.2026
373;160;1147;12.01.2026
374;160;862;13.01.2026
375;167;890;05.01.2026
376;167;861;04.01.2026
377;167;1157;08.01.2026
378;168;1119;07.01.2026
379;168;945;14.01.2026
380;168;1171;14.01.2026
381;177;833;09.01.2026
382;177;1082;06.01.2026
383;177;1080;13.01.2026
384;194;902;11.01.2026
385;194;1056;04.01.2026
386;194;974;14.01.2026
387;198;864;07.01.2026
388;198;1200;05.01.2026
389;198;883;13.01.2026
390;295;963;13.01.2026
391;295;1136;13.01.2026
392;295;1031;10.01.2026
393;306;1092;10.01.2026
394;306;1171;10.01.2026
395;306;973;11.01.2026
396;341;982;14.01.2026
397;341;1109;01.01.2026
398;341;803;13.01.2026
399;346;1031;06.01.2026
400;346;1038;05.01.2026
401;346;915;04.01.2026
402;359;827;10.01.2026
403;359;1104;02.01.2026
404;359;933;12.01.2026
405;377;884;09.01.2026
406;377;1160;13.01.2026
407;377;917;09.01.2026
408;397;1178;13.01.2026
409;397;1058;03.01.2026
410;397;806;13.01.2026
411;402;1056;08.01.2026
412;402;1119;06.01.2026
413;402;947;09.01.2026
414;404;1184;09.01.2026
415;404;1026;10.01.2026
416;404;955;05.01.2026
417;416;1165;13.01.2026
418;416;1189;01.01.2026
419;416;883;02.01.2026
420;426;1044;05.01.2026
421;426;823;02.01.2026
422;426;929;02.01.2026
423;442;1006;05.01.2026
424;442;1198;14.01.2026
425;442;834;13.01.2026
426;462;851;07.01.2026
427;462;1153;14.01.2026
428;462;1085;10.01.2026
429;468;1038;06.01.2026
430;468;992;05.01.2026
431;468;1096;03.01.2026
432;477;1085;14.01.2026
433;477;1085;01.01.2026
434;477;1000;04.01.2026
435;501;835;01.01.2026
436;501;990;10.01.2026
437;501;998;09.01.2026
438;546;1069;07.01.2026
439;546;1073;12.01.2026
440;546;1178;09.01.2026
441;569;999;07.01.2026
442;569;1134;07.01.2026
443;569;926;02.01.2026
444;587;920;13.01.2026
445;587;1079;13.01.2026
446;587;888;02.01.2026
447;591;1042;09.01.2026
448;591;948;10.01.2026
449;591;949;05.01.2026
450;592;1037;10.01.2026
451;592;1104;03.01.2026
452;592;1089;12.01.2026
453;612;978;01.01.2026
454;612;1034;08.01.2026
455;612;955;04.01.2026
456;618;1188;09.01.2026
457;618;967;05.01.2026
458;618;1085;10.01.2026
459;619;954;07.01.2026
460;619;1000;06.01.2026
461;619;1077;12.01.2026
462;645;1114;10.01.2026
463;645;1142;04.01.2026
464;645;1000;12.01.2026
465;666;994;10.01.2026
466;666;1041;05.01.2026
467;666;818;14.01.2026
468;683;939;01.01.2026
469;683;800;01.01.2026
470;683;883;07.01.2026
471;690;1186;12.01.2026
472;690;874;12.01.2026
473;690;1061;11.01.2026
474;703;1016;05.01.2026
475;703;866;13.01.2026
476;703;1077;03.01.2026
477;759;858;03.01.2026
478;759;944;06.01.2026
479;759;1134;07.01.2026
480;778;924;14.01.2026
481;778;858;03.01.2026
482;778;1046;04.01.2026
483;804;1012;06.01.2026
484;804;1195;12.01.2026
485;804;1113;02.01.2026
486;823;821;02.01.2026
487;823;1145;06.01.2026
488;823;885;02.01.2026
489;887;856;01.01.2026
490;887;847;01.01.2026
491;887;1012;09.01.2026
492;909;839;07.01.2026
493;909;946;14.01.2026
494;909;1040;12.01.2026
495;910;1010;02.01.2026
496;910;874;05.01.2026
497;910;939;08.01.2026
498;914;943;14.01.2026
499;914;1158;09.01.2026
500;914;1160;12.01.2026
501;921;817;14.01.2026
502;921;833;05.01.2026
503;921;855;10.01.2026
504;926;1193;04.01.2026
505;926;1048;07.01.2026
506;926;1131;06.01.2026
507;930;942;04.01.2026
508;930;829;03.01.2026
509;930;1124;07.01.2026
510;931;900;03.01.2026
511;931;1162;03.01.2026
512;931;1040;05.01.2026
513;950;1050;01.01.2026
514;950;1136;14.01.2026
515;950;941;07.01.2026
516;959;1199;12.01.2026
517;959;1105;02.01.2026
518;959;822;04.01.2026
519;990;1091;03.01.2026
520;990;1105;13.01.2026
521;990;907;11.01.2026
522;992;974;09.01.2026
523;992;938;04.01.2026
524;992;1183;10.01.2026
525;999;1146;14.01.2026
526;999;846;05.01.2026
527;999;1046;08.01.2026
528;1006;903;09.01.2026
529;1006;1250;14.01.2026
530;1006;1292;08.01.2026
531;1034;1066;12.01.2026
532;1034;967;14.01.2026
533;1034;1281;14.01.2026
534;1045;1156;04.01.2026
535;1045;1052;05.01.2026
536;1045;1130;06.01.2026
537;1058;927;09.01.2026
538;1058;1155;05.01.2026
539;1058;1051;09.01.2026
540;1064;920;10.01.2026
541;1064;1234;02.01.2026
542;1064;1060;13.01.2026
543;1068;1105;06.01.2026
544;1068;962;09.01.2026
545;1068;962;04.01.2026
546;1105;990;10.01.2026
547;1105;1102;01.01.2026
548;1105;1030;04.01.2026
549;1122;914;12.01.2026
550;1122;1047;10.01.2026
551;1122;1294;05.01.2026
552;1145;944;10.01.2026
553;1145;992;01.01.2026
554;1145;1103;09.01.2026
555;1160;1019;12.01.2026
556;1160;908;12.01.2026
557;1160;1148;03.01.2026
558;1173;1202;03.01.2026
559;1173;978;07.01.2026
560;1173;1052;12.01.2026
561;1188;1215;10.01.2026
562;1188;1243;04.01.2026
563;1188;935;11.01.2026
564;1203;1234;13.01.2026
565;1203;1137;11.01.2026
566;1203;1280;09.01.2026
567;1224;1187;14.01.2026
568;1224;928;08.01.2026
569;1224;1300;03.01.2026
570;1249;1085;06.01.2026
571;1249;946;10.01.2026
572;1249;1128;02.01.2026
573;1268;1265;12.01.2026
574;1268;1094;04.01.2026
575;1268;1028;13.01.2026
576;1274;1202;10.01.2026
577;1274;1106;04.01.2026
578;1274;925;03.01.2026
579;1298;1048;05.01.2026
580;1298;907;10.01.2026
581;1298;1165;05.01.2026
582;1309;1188;12.01.2026
583;1309;900;05.01.2026
584;1309;1162;13.01.2026
585;1315;985;01.01.2026
586;1315;943;06.01.2026
587;1315;1051;05.01.2026
588;1316;1265;08.01.2026
589;1316;1110;08.01.2026
590;1316;913;08.01.2026
591;1321;910;09.01.2026
592;1321;1208;11.01.2026
593;1321;990;05.01.2026
594;1338;1294;13.01.2026
595;1338;1025;05.01.2026
596;1338;1080;05.01.2026
597;1344;1263;03.01.2026
598;1344;1165;08.01.2026
599;1344;1096;11.01.2026
600;1358;1102;08.01.2026
601;1358;1226;04.01.2026
602;1358;1078;14.01.2026
603;1359;1144;13.01.2026
604;1359;1197;06.01.2026
605;1359;1042;06.01.2026
606;1382;1091;10.01.2026
607;1382;1097;07.01.2026
608;1382;1275;01.01.2026
609;1386;1143;10.01.2026
610;1386;1204;07.01.2026
611;1386;910;09.01.2026
612;1421;1276;04.01.2026
613;1421;1185;01.01.2026
614;1421;1059;11.01.2026
615;1429;947;04.01.2026
616;1429;1086;01.01.2026
617;1429;1261;14.01.2026
618;1430;1090;05.01.2026
619;1430;954;01.01.2026
620;1430;1005;11.01.2026
621;1433;997;10.01.2026
622;1433;1123;03.01.2026
623;1433;941;04.01.2026
624;1461;1184;06.01.2026
625;1461;1083;09.01.2026
626;1461;1246;07.01.2026
627;1469;977;05.01.2026
628;1469;939;11.01.2026
629;1469;1246;13.01.2026
630;1477;1251;03.01.2026
631;1477;1053;10.01.2026
632;1477;1246;01.01.2026
633;1489;931;06.01.2026
634;1489;1136;03.01.2026
635;1489;1190;06.01.2026
636;1491;1233;02.01.2026
637;1491;996;06.01.2026
638;1491;1123;14.01.2026
639;1505;1122;01.01.2026
640;1505;1056;13.01.2026
641;1505;1255;14.01.2026
642;1512;1014;14.01.2026
643;1512;1202;06.01.2026
644;1512;1213;11.01.2026
645;1513;1157;13.01.2026
646;1513;1202;13.01.2026
647;1513;1143;12.01.2026
648;1515;943;09.01.2026
649;1515;1290;03.01.2026
650;1515;1014;06.01.2026
651;1527;1105;10.01.2026
652;1527;947;05.01.2026
653;1527;1099;04.01.2026
654;1539;1184;06.01.2026
655;1539;1296;07.01.2026
656;1539;1052;07.01.2026
657;1546;1259;08.01.2026
658;1546;1271;05.01.2026
659;1546;1076;09.01.2026
660;1566;1273;11.01.2026
661;1566;1005;07.01.2026
662;1566;1044;14.01.2026
663;1571;1017;09.01.2026
664;1571;1225;03.01.2026
665;1571;1095;05.01.2026
666;1583;1286;14.01.2026
667;1583;1127;10.01.2026
668;1583;1139;13.01.2026
669;1589;1291;13.01.2026
670;1589;998;06.01.2026
671;1589;958;03.01.2026
672;1605;915;04.01.2026
673;1605;1146;13.01.2026
674;1605;1118;08.01.2026
675;1613;1036;02.01.2026
676;1613;1066;02.01.2026
677;1613;990;04.01.2026
678;1676;1060;01.01.2026
679;1676;1148;04.01.2026
680;1676;1149;11.01.2026
681;1751;1008;08.01.2026
682;1751;925;14.01.2026
683;1751;981;08.01.2026
684;1818;1223;07.01.2026
685;1818;1240;11.01.2026
686;1818;1024;10.01.2026
687;1832;957;13.01.2026
688;1832;923;06.01.2026
689;1832;1081;08.01.2026
690;1856;1124;05.01.2026
691;1856;977;02.01.2026
692;1856;1147;04.01.2026
693;1884;1118;01.01.2026
694;1884;1081;14.01.2026
695;1884;917;13.01.2026
696;1909;951;07.01.2026
697;1909;1098;09.01.2026
698;1909;1117;03.01.2026
699;1911;1217;01.01.2026
700;1911;1180;09.01.2026
701;1911;1293;08.01.2026
702;1961;1269;01.01.2026
703;1961;986;02.01.2026
704;1961;1143;13.01.2026
705;1963;1181;07.01.2026
706;1963;1292;10.01.2026
707;1963;1157;03.01.2026
708;1964;991;10.01.2026
709;1964;1111;11.01.2026
710;1964;1145;10.01.2026
711;1970;1127;02.01.2026
712;1970;1242;03.01.2026
713;1970;997;01.01.2026
714;1973;1151;02.01.2026
715;1973;1128;06.01.2026
716;1973;952;01.01.2026
717;1978;981;05.01.2026
718;1978;1001;12.01.2026
719;1978;912;08.01.2026
